school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Total,Grades
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,0,3,0,yes,yes,no,yes,yes,yes,yes,no,3,4,4,2,4,4,0,14,13,13,40,Very Good
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,0,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,13,12,12,37,Good
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,1,16,15,16,47,Excellent
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,0,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,3,4,3,0,11,12,12,35,Good
GP,F,16,U,GT3,T,3,1,services,other,course,mother,0,4,0,yes,yes,no,no,yes,yes,yes,no,4,3,3,1,2,5,0,10,9,10,29,Satisfied
GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,1,2,0,yes,yes,no,no,yes,yes,yes,no,4,1,3,1,3,4,0,11,10,11,32,Satisfied
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,1,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,1,15,15,15,45,Very Good
GP,M,16,U,GT3,T,3,1,other,other,reputation,father,1,4,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,5,1,13,11,11,35,Good
GP,M,15,U,GT3,T,4,2,other,other,course,mother,0,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,11,9,10,30,Satisfied
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,0,2,0,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,1,13,11,11,35,Good
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,0,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,0,13,13,14,40,Very Good
GP,F,16,U,GT3,T,3,3,other,services,home,mother,0,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,3,2,4,5,1,11,11,11,33,Satisfied
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,0,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,3,5,0,11,11,11,33,Satisfied
GP,M,15,U,GT3,T,4,1,teacher,other,course,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,0,12,11,11,34,Good
GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,0,4,0,no,no,no,no,yes,yes,yes,yes,5,2,3,1,3,3,1,13,13,13,39,Good
GP,M,17,U,GT3,T,2,1,other,other,home,mother,1,1,1,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,0,9,9,10,28,Satisfied
GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,0,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,1,12,11,11,34,Good
GP,M,15,U,GT3,T,2,3,other,services,course,father,0,1,0,yes,yes,no,yes,no,yes,yes,yes,3,2,2,1,3,3,0,11,11,12,34,Good
GP,M,15,U,GT3,T,2,3,other,other,home,mother,0,3,0,yes,no,no,no,no,yes,yes,no,5,3,2,1,2,5,1,10,9,9,28,Satisfied
GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,0,2,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,1,5,1,12,11,11,34,Good
GP,M,15,U,LE3,T,2,2,services,services,home,mother,1,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,1,13,12,13,38,Good
GP,F,15,U,GT3,T,1,1,other,other,home,father,0,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,1,13,12,12,37,Good
GP,F,15,U,GT3,T,4,4,services,services,reputation,father,1,2,0,no,no,no,no,yes,yes,yes,yes,4,4,4,2,3,5,1,12,11,12,35,Good
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,0,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,1,13,11,11,35,Good
GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,0,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,1,15,15,15,45,Very Good
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,1,2,0,no,no,no,yes,no,yes,yes,no,4,4,2,1,1,3,1,12,10,11,33,Satisfied
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,0,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,4,5,1,9,9,10,28,Satisfied
GP,F,16,U,GT3,T,3,3,other,other,home,mother,0,3,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,3,4,1,9,11,11,31,Satisfied
GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,0,1,0,no,no,no,yes,yes,yes,yes,no,4,5,5,1,3,1,1,14,13,13,40,Very Good
GP,F,16,U,LE3,T,3,1,other,other,home,father,0,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,0,12,13,12,37,Good
GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,1,1,13,14,14,41,Very Good
GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,0,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,1,11,12,12,35,Good
GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,1,4,0,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,1,13,13,13,39,Good
GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,1,1,0,yes,yes,yes,yes,no,yes,yes,no,3,3,3,1,1,4,1,9,11,11,31,Satisfied
GP,F,16,U,GT3,T,2,1,other,other,course,mother,0,2,0,no,yes,no,no,yes,yes,no,yes,4,3,5,1,1,5,0,13,12,12,37,Good
GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,0,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,1,12,13,13,38,Good
GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,0,3,0,yes,yes,no,no,yes,yes,yes,no,5,3,5,1,1,3,1,12,13,13,38,Good
GP,M,16,U,GT3,T,4,4,services,services,other,mother,0,1,0,yes,yes,no,yes,yes,yes,yes,no,4,5,5,3,4,4,1,9,9,8,26,Satisfied
GP,M,16,U,GT3,T,4,4,services,teacher,other,father,0,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,16,16,16,48,Excellent
GP,M,15,U,GT3,T,4,4,services,other,course,mother,0,1,0,no,yes,yes,yes,no,yes,yes,no,5,3,3,1,1,5,1,12,13,12,37,Good
GP,M,15,U,GT3,A,3,4,services,other,course,mother,0,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16,16,16,48,Excellent
GP,F,15,U,GT3,A,3,3,other,health,reputation,father,0,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,1,10,10,10,30,Satisfied
GP,F,15,U,GT3,T,2,2,other,other,course,mother,0,4,0,yes,yes,no,no,yes,yes,yes,no,5,1,2,1,1,3,1,10,10,10,30,Satisfied
GP,M,16,U,GT3,T,3,3,services,other,home,father,0,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,1,13,14,14,41,Very Good
GP,M,15,R,GT3,T,4,4,other,other,home,father,1,4,0,no,yes,no,yes,yes,yes,yes,yes,1,3,5,3,4,1,1,12,10,11,33,Satisfied
GP,F,16,U,LE3,T,4,4,health,health,other,mother,0,3,0,no,yes,no,yes,yes,yes,yes,yes,5,4,5,1,1,4,1,15,15,14,44,Very Good
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,0,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,1,13,14,14,41,Very Good
GP,F,16,R,GT3,T,3,3,services,other,reputation,father,0,3,0,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,1,11,11,11,33,Satisfied
GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,0,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,1,8,10,10,28,Satisfied
GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,0,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,1,18,17,18,53,Excellent
GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,0,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,1,10,9,10,29,Satisfied
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,0,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,1,16,14,14,44,Very Good
GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,1,2,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,1,16,15,16,47,Excellent
GP,M,16,U,GT3,T,3,3,other,services,home,father,1,1,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,1,14,14,15,43,Very Good
GP,M,17,R,GT3,T,1,3,other,other,course,father,1,2,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,1,12,11,11,34,Good
GP,M,15,U,GT3,T,3,4,other,other,reputation,father,0,1,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,1,14,13,14,41,Very Good
GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,0,2,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,0,14,14,14,42,Very Good
GP,M,15,U,GT3,T,2,2,services,services,home,father,0,4,0,no,yes,no,yes,yes,yes,yes,no,5,5,4,1,2,5,1,14,13,13,40,Very Good
GP,F,16,U,LE3,T,2,4,other,health,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,2,2,1,2,5,1,14,12,13,39,Good
GP,M,16,U,GT3,T,4,4,health,other,course,mother,0,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,1,12,13,13,38,Good
GP,F,16,U,GT3,T,2,2,other,other,home,mother,0,2,0,no,no,no,no,yes,yes,yes,yes,5,4,4,1,1,5,0,12,11,11,34,Good
GP,M,15,U,GT3,T,3,4,services,services,home,father,0,1,0,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,1,9,9,9,27,Satisfied
GP,F,15,U,LE3,A,3,4,other,other,home,mother,0,2,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0,10,11,11,32,Satisfied
GP,F,over_18,U,GT3,T,1,1,at_home,other,course,other,0,2,1,no,yes,no,no,no,no,no,no,3,4,2,1,1,5,0,9,10,11,30,Satisfied
GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,0,1,0,no,no,no,yes,yes,yes,yes,no,3,5,5,2,4,4,1,14,14,15,43,Very Good
GP,M,16,U,GT3,T,2,3,other,other,course,mother,1,3,0,no,yes,no,no,no,yes,yes,yes,3,2,3,2,2,1,1,13,12,13,38,Good
GP,F,15,R,GT3,T,3,4,services,teacher,course,father,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,2,2,2,2,5,0,10,11,12,33,Satisfied
GP,F,18,U,GT3,T,2,1,services,other,reputation,mother,0,2,1,no,yes,no,yes,yes,no,yes,yes,5,4,5,1,3,5,1,10,9,8,27,Satisfied
GP,F,17,U,LE3,A,2,1,other,other,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,3,2,2,1,2,5,1,11,10,11,32,Satisfied
GP,F,15,U,GT3,T,1,1,at_home,other,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,2,4,1,11,12,13,36,Good
GP,F,17,U,LE3,T,2,2,other,other,course,father,0,1,0,no,yes,no,no,yes,yes,yes,yes,3,4,4,1,3,5,1,13,12,12,37,Good
GP,F,16,U,GT3,A,3,4,services,other,course,father,0,1,0,no,no,no,no,yes,yes,yes,no,3,2,1,1,4,5,1,15,13,14,42,Very Good
GP,M,16,U,GT3,T,2,1,at_home,other,course,mother,1,1,0,no,no,no,no,yes,yes,no,no,3,2,1,1,1,2,1,9,9,11,29,Satisfied
GP,F,16,U,GT3,A,2,2,other,other,home,mother,0,1,1,no,no,no,no,yes,yes,no,no,5,3,4,1,1,5,1,13,11,11,35,Good
GP,M,15,R,GT3,T,3,4,at_home,teacher,course,mother,1,2,0,no,yes,no,no,yes,yes,no,yes,5,3,3,1,1,5,1,12,11,11,34,Good
GP,F,15,U,GT3,T,4,4,services,at_home,course,mother,0,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,1,5,1,13,14,15,42,Very Good
GP,M,17,R,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,no,no,no,yes,yes,no,no,5,4,5,2,4,5,1,10,9,10,29,Satisfied
GP,F,16,R,GT3,T,1,1,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,5,1,3,1,1,3,0,14,13,13,40,Very Good
GP,M,18,U,LE3,T,3,1,services,services,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,yes,3,3,4,3,4,4,1,11,11,12,34,Good
GP,F,18,U,GT3,A,3,2,other,services,course,other,0,3,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,3,1,5,1,12,11,11,34,Good
GP,F,16,R,GT3,T,1,1,other,services,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,no,yes,3,3,3,1,2,1,1,12,11,11,34,Good
GP,F,16,U,GT3,A,3,3,other,other,course,other,1,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,2,1,1,5,1,9,9,10,28,Satisfied
GP,M,16,U,LE3,T,1,1,services,other,course,mother,0,2,1,no,no,no,no,yes,yes,no,yes,4,4,4,1,3,5,0,10,10,10,30,Satisfied
GP,F,15,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,1,13,14,14,41,Very Good
GP,F,15,R,GT3,T,1,1,other,other,course,mother,1,1,1,no,no,no,yes,yes,yes,yes,yes,5,5,5,1,1,1,1,8,9,9,26,Satisfied
GP,M,15,U,GT3,T,4,3,teacher,services,course,father,1,4,0,yes,yes,no,no,yes,yes,yes,no,2,2,2,1,1,3,1,9,11,11,31,Satisfied
GP,M,16,U,GT3,T,4,4,services,services,course,mother,0,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,5,0,15,13,13,41,Very Good
GP,M,16,U,LE3,T,2,2,services,services,reputation,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,2,3,3,2,2,2,1,12,11,11,34,Good
GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,0,3,0,no,yes,no,yes,yes,yes,yes,no,4,2,2,1,1,5,1,13,13,13,39,Good
GP,F,16,U,LE3,T,1,1,at_home,at_home,course,mother,0,1,0,no,no,no,no,yes,yes,yes,no,3,4,4,3,3,1,1,10,11,11,32,Satisfied
GP,F,15,U,GT3,T,1,1,other,services,course,father,0,2,0,no,yes,no,no,yes,yes,yes,no,4,4,2,1,2,5,0,12,12,12,36,Good
GP,F,15,U,LE3,A,2,1,at_home,other,home,mother,1,1,0,no,yes,no,yes,yes,no,yes,yes,4,4,2,1,1,5,0,11,10,10,31,Satisfied
GP,F,15,U,GT3,T,3,2,health,services,home,father,0,2,1,no,yes,no,no,yes,yes,yes,no,3,3,2,1,1,3,1,11,11,11,33,Satisfied
GP,F,15,U,GT3,T,1,2,at_home,other,course,mother,0,2,0,no,yes,no,no,no,yes,yes,no,4,3,2,1,1,5,1,13,12,13,38,Good
GP,F,15,U,GT3,T,1,2,at_home,services,course,father,0,2,0,no,no,no,no,no,yes,no,yes,2,3,4,2,4,1,1,11,11,11,33,Satisfied
GP,M,15,U,LE3,A,2,1,services,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,4,5,5,2,4,5,0,12,11,11,34,Good
GP,M,18,U,LE3,T,1,1,other,other,course,mother,0,1,1,no,no,no,no,yes,no,yes,yes,2,3,5,2,4,4,0,11,9,0,20,Fail
GP,M,16,U,LE3,T,2,1,at_home,other,course,mother,0,1,1,no,no,no,yes,yes,yes,no,yes,4,4,4,3,4,5,1,9,10,10,29,Satisfied
GP,F,15,R,GT3,T,3,3,services,services,reputation,other,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,2,3,3,1,13,13,13,39,Good
GP,M,over_18,U,GT3,T,3,2,services,at_home,home,mother,0,1,0,no,yes,no,no,yes,no,yes,yes,4,5,4,1,1,4,1,11,9,11,31,Satisfied
GP,F,17,U,GT3,T,4,4,other,teacher,course,mother,0,1,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,1,1,4,0,13,13,13,39,Good
GP,M,15,R,GT3,T,2,3,at_home,services,course,mother,0,2,0,yes,no,yes,yes,yes,yes,no,no,4,4,4,1,1,1,0,7,8,8,23,Fail
GP,M,17,R,LE3,T,1,2,other,other,reputation,mother,0,1,1,no,no,no,no,yes,yes,no,no,2,2,2,3,3,5,1,9,8,10,27,Satisfied
GP,F,18,R,GT3,T,1,1,at_home,other,course,mother,1,1,1,no,yes,no,yes,no,yes,no,no,5,2,5,1,4,4,1,11,10,11,32,Satisfied
GP,M,16,R,GT3,T,2,2,at_home,other,course,mother,1,1,0,no,no,no,no,no,yes,no,no,4,2,2,1,2,3,1,12,10,11,33,Satisfied
